naics_description,product_or_service_code_description,award_base_action_date,total_obligated_amount
CONSTRUCTION SAND AND GRAVEL MINING,ARCHITECT AND ENGINEERING- CONSTRUCTION: OFFICE BUILDINGS,2020M01,16368.01
CONSTRUCTION SAND AND GRAVEL MINING,ARCHITECT AND ENGINEERING- CONSTRUCTION: OFFICE BUILDINGS,2020M05,0.0
CONSTRUCTION SAND AND GRAVEL MINING,ARCHITECT AND ENGINEERING- CONSTRUCTION: OFFICE BUILDINGS,2020M05,15025.0
CONSTRUCTION SAND AND GRAVEL MINING,ARCHITECT AND ENGINEERING- CONSTRUCTION: OFFICE BUILDINGS,2020M08,156924.0
CONSTRUCTION SAND AND GRAVEL MINING,ARCHITECT AND ENGINEERING- CONSTRUCTION: OFFICE BUILDINGS,2020M09,28426.05
CONSTRUCTION SAND AND GRAVEL MINING,ARCHITECT AND ENGINEERING- CONSTRUCTION: OTHER ADMINISTRATIVE FACILITIES/SERVICE BUILDINGS,2020M09,12318.41
CONSTRUCTION SAND AND GRAVEL MINING,ARCHITECT AND ENGINEERING- CONSTRUCTION: OTHER ADMINISTRATIVE FACILITIES/SERVICE BUILDINGS,2021M07,107127.28
CONSTRUCTION SAND AND GRAVEL MINING,ARCHITECT AND ENGINEERING- CONSTRUCTION: OTHER ADMINISTRATIVE FACILITIES/SERVICE BUILDINGS,2021M08,12095.25
CONSTRUCTION SAND AND GRAVEL MINING,ARCHITECT AND ENGINEERING- CONSTRUCTION: OTHER ADMINISTRATIVE FACILITIES/SERVICE BUILDINGS,2021M08,13182.96
CONSTRUCTION SAND AND GRAVEL MINING,ARCHITECT AND ENGINEERING- CONSTRUCTION: OTHER INDUSTRIAL BUILDINGS,2020M06,13780.29
CONSTRUCTION SAND AND GRAVEL MINING,ARCHITECT AND ENGINEERING- CONSTRUCTION: OTHER NON-BUILDING FACILITIES,2020M09,94734.41
CONSTRUCTION SAND AND GRAVEL MINING,ARCHITECT AND ENGINEERING- CONSTRUCTION: OTHER NON-BUILDING FACILITIES,2021M02,50035.29
CONSTRUCTION SAND AND GRAVEL MINING,ARCHITECT AND ENGINEERING- CONSTRUCTION: OTHER NON-BUILDING FACILITIES,2021M02,81328.07
CONSTRUCTION SAND AND GRAVEL MINING,ARCHITECT AND ENGINEERING- CONSTRUCTION: OTHER RESIDENTIAL BUILDINGS,2017M04,55617.5
CONSTRUCTION SAND AND GRAVEL MINING,ARCHITECT AND ENGINEERING- CONSTRUCTION: OTHER RESIDENTIAL BUILDINGS,2017M05,4935.89
CONSTRUCTION SAND AND GRAVEL MINING,ARCHITECT AND ENGINEERING- CONSTRUCTION: OTHER RESIDENTIAL BUILDINGS,2019M09,41745.0
CONSTRUCTION SAND AND GRAVEL MINING,ARCHITECT AND ENGINEERING- CONSTRUCTION: OTHER RESIDENTIAL BUILDINGS,2020M07,10146.24
CONSTRUCTION SAND AND GRAVEL MINING,ARCHITECT AND ENGINEERING- CONSTRUCTION: OTHER WAREHOUSE BUILDINGS,2021M07,16462.89
CONSTRUCTION SAND AND GRAVEL MINING,ARCHITECT AND ENGINEERING- CONSTRUCTION: PARKING FACILITIES,2020M11,44394.81
CONSTRUCTION SAND AND GRAVEL MINING,ARCHITECT AND ENGINEERING- CONSTRUCTION: SEWAGE AND WASTE FACILITIES,2017M09,4938.82
CONSTRUCTION SAND AND GRAVEL MINING,ARCHITECT AND ENGINEERING- CONSTRUCTION: TANK AUTOMOTIVE FACILITIES,2017M01,0.0
CONSTRUCTION SAND AND GRAVEL MINING,ARCHITECT AND ENGINEERING- CONSTRUCTION: WATER SUPPLY FACILITIES,2017M07,0.0
CONSTRUCTION SAND AND GRAVEL MINING,ARCHITECT AND ENGINEERING- GENERAL: ELECTRICAL SYSTEMS,2017M09,3881.23
CONSTRUCTION SAND AND GRAVEL MINING,ARCHITECT AND ENGINEERING- GENERAL: ELECTRICAL SYSTEMS,2017M09,7777.78
CONSTRUCTION SAND AND GRAVEL MINING,ARCHITECT AND ENGINEERING- GENERAL: ELECTRICAL SYSTEMS,2017M09,8056.5
CONSTRUCTION SAND AND GRAVEL MINING,ARCHITECT AND ENGINEERING- GENERAL: INSPECTION (NON-CONSTRUCTION),2018M09,0.0
CONSTRUCTION SAND AND GRAVEL MINING,"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",2020M09,13281.72
CONSTRUCTION SAND AND GRAVEL MINING,ARCHITECT AND ENGINEERING- GENERAL: OTHER,2021M09,175084.88
CONSTRUCTION SAND AND GRAVEL MINING,ARCHITECT AND ENGINEERING- GENERAL: PLUMBING SYSTEMS,2017M09,5651.69
CONSTRUCTION SAND AND GRAVEL MINING,ARCHITECT AND ENGINEERING- GENERAL: STRUCTURAL ENGINEERING,2020M09,50216.0
CONSTRUCTION SAND AND GRAVEL MINING,"BATTERIES, NONRECHARGEABLE",2019M09,8136.0
CONSTRUCTION SAND AND GRAVEL MINING,"BUILDING COMPONENTS, PREFABRICATED",2016M01,10341.15
CONSTRUCTION SAND AND GRAVEL MINING,"BUILDING COMPONENTS, PREFABRICATED",2016M04,3814.53
CONSTRUCTION SAND AND GRAVEL MINING,"BUILDING COMPONENTS, PREFABRICATED",2016M08,37938.9
CONSTRUCTION SAND AND GRAVEL MINING,"BUILDING COMPONENTS, PREFABRICATED",2017M01,5290.67
CONSTRUCTION SAND AND GRAVEL MINING,"BUILDING COMPONENTS, PREFABRICATED",2018M08,18078.19
CONSTRUCTION SAND AND GRAVEL MINING,"BUILDING COMPONENTS, PREFABRICATED",2021M04,243699.83
CONSTRUCTION SAND AND GRAVEL MINING,"BUILDING COMPONENTS, PREFABRICATED",2021M07,29194.16
CONSTRUCTION SAND AND GRAVEL MINING,CHEMICALS,2016M09,28346.25
CONSTRUCTION SAND AND GRAVEL MINING,CHEMICALS,2017M08,37201.5
CONSTRUCTION SAND AND GRAVEL MINING,CHEMICALS,2018M09,19950.0
CONSTRUCTION SAND AND GRAVEL MINING,CHEMICALS,2021M08,16177.44
CONSTRUCTION SAND AND GRAVEL MINING,CLAY AND CONCRETE PRODUCTS INDUSTRIES MACHINERY,2016M09,2380.98
CONSTRUCTION SAND AND GRAVEL MINING,CLAY AND CONCRETE PRODUCTS INDUSTRIES MACHINERY,2017M02,5500.0
CONSTRUCTION SAND AND GRAVEL MINING,CLAY AND CONCRETE PRODUCTS INDUSTRIES MACHINERY,2017M04,3300.0
CONSTRUCTION SAND AND GRAVEL MINING,CLAY AND CONCRETE PRODUCTS INDUSTRIES MACHINERY,2017M04,436425.0
CONSTRUCTION SAND AND GRAVEL MINING,CLAY AND CONCRETE PRODUCTS INDUSTRIES MACHINERY,2018M09,40957.95
CONSTRUCTION SAND AND GRAVEL MINING,CLAY AND CONCRETE PRODUCTS INDUSTRIES MACHINERY,2021M08,18342.5
CONSTRUCTION SAND AND GRAVEL MINING,CLAY AND CONCRETE PRODUCTS INDUSTRIES MACHINERY,2021M09,122980.75
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF AIRPORT SERVICE ROADS,2017M07,5124.67
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF AMMUNITION FACILITIES,2016M01,140539.74
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF AMMUNITION FACILITIES,2016M01,143381.65
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF AMMUNITION FACILITIES,2016M02,22538.63
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF AMMUNITION FACILITIES,2016M03,27258.75
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF AMMUNITION FACILITIES,2016M04,91697.5
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF AMMUNITION FACILITIES,2016M05,0.0
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF AMMUNITION FACILITIES,2016M05,33660.3
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF AMMUNITION FACILITIES,2016M05,105338.0
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF AMMUNITION FACILITIES,2016M07,12853.9
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF AMMUNITION FACILITIES,2016M07,19373.0
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF AMMUNITION FACILITIES,2016M08,6813.0
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF AMMUNITION FACILITIES,2016M08,31333.5
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF AMMUNITION FACILITIES,2017M09,26132.93
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF AMMUNITION STORAGE BUILDINGS,2016M01,6889.81
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF AMMUNITION STORAGE BUILDINGS,2016M01,8661.9
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF AMMUNITION STORAGE BUILDINGS,2016M01,13085.92
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF AMMUNITION STORAGE BUILDINGS,2016M02,15061.99
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF AMMUNITION STORAGE BUILDINGS,2016M02,16930.67
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF AMMUNITION STORAGE BUILDINGS,2016M02,24623.24
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF AMMUNITION STORAGE BUILDINGS,2016M03,24186.89
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF AMMUNITION STORAGE BUILDINGS,2016M04,25724.18
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF AMMUNITION STORAGE BUILDINGS,2016M05,29164.83
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF AMMUNITION STORAGE BUILDINGS,2017M09,18817.37
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF AMMUNITION STORAGE BUILDINGS,2017M09,70129.32
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF CANALS,2017M06,3896.1
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF CANALS,2017M06,6437.85
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF CONFERENCE SPACE AND FACILITIES,2016M03,22500.0
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF CONFERENCE SPACE AND FACILITIES,2018M01,140628.64
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF CONFERENCE SPACE AND FACILITIES,2018M04,6326.25
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF CONFERENCE SPACE AND FACILITIES,2018M10,12707.81
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF DAMS,2016M09,4076.26
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF DAMS,2016M09,5360.87
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF DAMS,2017M01,5573.7
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF DAMS,2017M02,19366.88
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF DAMS,2018M02,10389.61
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF DINING FACILITIES,2021M06,13900.0
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF ELECTRONIC AND COMMUNICATIONS FACILITIES,2018M04,0.0
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF ELECTRONIC AND COMMUNICATIONS FACILITIES,2018M09,10457.86
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF ELECTRONIC AND COMMUNICATIONS FACILITIES,2019M01,20234.14
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF EPG FACILITIES - COAL,2017M09,44167.99
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF EPG FACILITIES - GAS,2016M03,5079.64
CONSTRUCTION SAND AND GRAVEL MINING,"CONSTRUCTION OF EPG FACILITIES - OTHER, INCLUDING TRANSMISSION",2016M07,20570.65
CONSTRUCTION SAND AND GRAVEL MINING,"CONSTRUCTION OF EPG FACILITIES - OTHER, INCLUDING TRANSMISSION",2016M07,22022.78
CONSTRUCTION SAND AND GRAVEL MINING,"CONSTRUCTION OF EPG FACILITIES - OTHER, INCLUDING TRANSMISSION",2016M07,28607.41
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF EPG FACILITIES - WIND,2017M05,6041.23
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2016M01,8144.33
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2016M01,9369.2
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2016M02,5060.13
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2016M03,0.0
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2016M05,4630.5
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2016M06,57585.55
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2016M06,71615.41
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2016M07,9458.34
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2016M07,43857.14
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2016M08,4839.61
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2016M08,52159.07
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2016M08,54114.64
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2016M09,20952.45
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2016M11,3735.0
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2016M11,10042.54
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2017M01,79585.73
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2017M03,6162.08
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2017M06,4754.53
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2017M07,5457.44
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2017M07,8616.81
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2017M07,29755.24
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2017M07,149593.26
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2017M07,151207.55
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2017M08,4961.98
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2017M08,9866.13
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2017M08,35054.12
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2017M08,44843.78
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2017M09,5680.8
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2017M09,7129.49
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2017M09,7576.04
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2017M09,8316.89
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2017M09,8318.47
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2017M09,11190.55
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2017M09,11331.37
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2017M09,15126.68
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2017M09,16252.92
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2017M09,16486.21
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2017M09,16924.35
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2017M09,26690.0
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2017M09,27239.16
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2017M09,51574.8
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2017M09,56242.12
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2017M09,59081.16
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2017M09,79493.04
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2017M09,105642.95
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2017M11,6792.35
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2017M12,11686.92
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2018M01,7310.48
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2018M02,67550.3
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2019M08,26045.05
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2019M09,74075.43
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2020M02,35259.74
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2020M04,40695.54
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2020M06,11863.04
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2021M03,16573.02
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2021M05,19337.96
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2021M06,73665.39
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,2021M09,64952.57
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FUEL SUPPLY FACILITIES,2016M07,14824.12
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF GOVERNMENT-OWNED CONTRACTOR-OPERATED (GOCO) R&D FACILITIES,2017M09,47709.54
CONSTRUCTION SAND AND GRAVEL MINING,"CONSTRUCTION OF HIGHWAYS, ROADS, STREETS, BRIDGES, AND RAILWAYS",2016M02,8250.0
CONSTRUCTION SAND AND GRAVEL MINING,"CONSTRUCTION OF HIGHWAYS, ROADS, STREETS, BRIDGES, AND RAILWAYS",2019M09,44887.0
CONSTRUCTION SAND AND GRAVEL MINING,"CONSTRUCTION OF HIGHWAYS, ROADS, STREETS, BRIDGES, AND RAILWAYS",2021M09,54957.92
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2016M01,4232.96
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2016M01,5221.52
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2016M01,11490.4
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2016M02,4136.71
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2016M02,49604.0
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2016M03,5613.8
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2016M03,10560.16
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2016M04,36083.88
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2016M04,123745.03
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2016M05,34585.73
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2016M06,3566.42
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2016M06,14802.96
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2016M06,16454.94
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2016M06,18584.37
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2016M08,12427.18
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2016M08,21327.74
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2016M08,22114.58
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2016M08,35032.56
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2016M09,7022.92
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2016M09,15000.0
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2016M12,0.0
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2017M02,40326.0
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2017M04,10820.0
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2017M07,4906.85
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2017M07,5800.1
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2017M07,110098.9
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2017M08,15261.56
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2017M09,8744.31
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2017M09,9466.67
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2017M09,14598.89
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2017M09,62610.0
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2017M11,0.0
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2017M11,6832.87
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2017M11,10451.81
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2017M11,11239.0
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2017M11,25267.13
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2017M11,75091.63
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2017M12,7298.05
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2017M12,85147.21
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2018M01,4873.24
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2018M01,49000.0
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2018M02,10000.0
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2018M02,10334.48
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2018M02,72467.73
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2018M02,75571.43
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2018M03,7205.23
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2018M03,44967.69
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2018M04,8222.13
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2018M04,10250.7
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2018M04,30405.92
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2018M04,41162.01
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2018M05,3621.5
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2018M05,4370.86
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2018M06,27.02
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2018M07,5008.79
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2018M07,27298.99
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2018M07,45187.07
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2018M09,10940.25
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2018M09,12209.28
CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,2018M09,12963.69
