total_obligated_amount,award_base_action_date,period_of_performance_start_date,period_of_performance_current_end_date,period_of_performance_potential_end_date,funding_sub_agency_name,recipient_name,recipient_city_name,recipient_county_name,recipient_state_code,product_or_service_code,product_or_service_code_description,naics_code,naics_description
0,6/9/2019,6/25/2019,,,"STATE, DEPARTMENT OF",FOREIGN AWARDEES (UNDISCLOSED),WASHINGTON,DISTRICT OF COLUMBIA,DC,V999,TRANSPORTATION/TRAVEL/RELOCATION- OTHER: OTHER,212321,CONSTRUCTION SAND AND GRAVEL MINING
98,10/29/2019,10/29/2019,11/8/2019 0:00,11/8/2019 0:00,FEDERAL ACQUISITION SERVICE,"GIGA, INC.",MACON,BIBB,GA,6830,GASES: COMPRESSED AND LIQUEFIED,211112,NATURAL GAS LIQUID EXTRACTION
55454.84,4/12/2019,4/12/2019,5/13/2019 0:00,5/13/2019 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
63256,5/6/2019,5/6/2019,5/15/2019 0:00,5/15/2019 0:00,DEPT OF THE ARMY,KEYSTONE LIME COMPANY,SPRINGS,SOMERSET,PA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
1949.25,7/18/2018,7/18/2018,1/22/2019 0:00,1/22/2019 0:00,DEFENSE LOGISTICS AGENCY,"ECI DEFENSE GROUP, INC.",LYLES,HICKMAN,TN,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
7500,7/14/2020,7/14/2020,7/13/2021 0:00,7/13/2021 0:00,FOREST SERVICE,"BOXLEY AGGREGATES OF WEST VIRGINIA, L.L.C.",LEWISBURG,GREENBRIER,WV,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
151535,1/26/2016,1/26/2016,2/7/2016 0:00,9/30/2019 0:00,"STATE, DEPARTMENT OF",FOREIGN AWARDEES (UNDISCLOSED),WASHINGTON,DISTRICT OF COLUMBIA,DC,Y1JZ,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,212321,CONSTRUCTION SAND AND GRAVEL MINING
9522.2,4/3/2015,4/3/2015,10/6/2015 0:00,10/6/2015 0:00,DEFENSE LOGISTICS AGENCY,GOODRICH LTD,BIRMINGHAM,,,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
20196,5/10/2018,5/10/2018,6/11/2018 0:00,6/11/2018 0:00,U.S. FISH AND WILDLIFE SERVICE,BSE PERFORMANCE LLC,PEORIA,MARICOPA,AZ,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212311,DIMENSION STONE MINING AND QUARRYING
5060.13,2/3/2016,2/3/2016,2/25/2016 0:00,2/25/2016 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,Y1FA,CONSTRUCTION OF FAMILY HOUSING FACILITIES,212321,CONSTRUCTION SAND AND GRAVEL MINING
1013.15,2/15/2019,2/15/2019,3/18/2019 0:00,3/18/2019 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
1357.8,9/25/2021,9/25/2021,10/25/2021 0:00,10/25/2021 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
683.55,1/28/2019,1/28/2019,2/27/2019 0:00,2/27/2019 0:00,DEFENSE LOGISTICS AGENCY,"BRIGHT LIGHTS USA, INC.",BARRINGTON,CAMDEN,NJ,5340,"HARDWARE, COMMERCIAL",213113,SUPPORT ACTIVITIES FOR COAL MINING
749990.75,9/30/2020,9/30/2020,9/29/2021 0:00,9/29/2021 0:00,DEPT OF THE AIR FORCE,"J BROTHERS TRUCKING & EXCAVATION, LLC",ROOSEVELT,DUCHESNE,UT,F011,NATURAL RESOURCES/CONSERVATION- SURFACE MINING RECLAMATION (NON-CONSTRUCTION),212321,CONSTRUCTION SAND AND GRAVEL MINING
189.96,11/29/2017,11/29/2017,1/29/2018 0:00,1/29/2018 0:00,DEFENSE LOGISTICS AGENCY,LYNN ELECTRONICS CORP.,IVYLAND,BUCKS,PA,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
99319.94,1/22/2019,1/22/2019,9/30/2019 0:00,9/30/2019 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,Y1LZ,CONSTRUCTION OF PARKING FACILITIES,212321,CONSTRUCTION SAND AND GRAVEL MINING
15640,10/5/2020,10/5/2020,11/19/2020 0:00,11/19/2020 0:00,DEFENSE LOGISTICS AGENCY,"WKF (FRIEDMAN) ENTERPRISES, INC.",STOCKTON,SAN JOAQUIN,CA,3110,"BEARINGS, ANTIFRICTION, UNMOUNTED",213113,SUPPORT ACTIVITIES FOR COAL MINING
22195.55,5/23/2016,5/23/2016,9/9/2016 0:00,9/9/2016 0:00,"ENERGY, DEPARTMENT OF","BNJ BUILDERS, LLC",OKLAHOMA CITY,OKLAHOMA,OK,3895,MISCELLANEOUS CONSTRUCTION EQUIPMENT,212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
9480,9/5/2017,9/5/2017,9/29/2017 0:00,9/29/2017 0:00,"ENERGY, DEPARTMENT OF",BERGER ENTERPRISES LLC,EMERADO,GRAND FORKS,ND,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
0,3/21/2018,3/21/2018,4/13/2018 0:00,4/13/2018 0:00,DEFENSE LOGISTICS AGENCY,ARMY & AIR FORCE EXCHANGE SERVICE,DALLAS,DALLAS,TX,8960,"BEVERAGES, NONALCOHOLIC",212391,"POTASH, SODA, AND BORATE MINERAL MINING"
490,11/8/2017,11/8/2017,1/8/2018 0:00,1/8/2018 0:00,DEFENSE LOGISTICS AGENCY,ALPHA FASTENERS CORP.,FREEPORT,NASSAU,NY,3040,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,213113,SUPPORT ACTIVITIES FOR COAL MINING
2450,9/18/2007,9/18/2007,9/18/2007 0:00,9/18/2007 0:00,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,SCIENTIFIC LAB TECHNOLOGY INCORPORATED,UNIVERSITY PLACE,PIERCE,WA,N056,INSTALLATION OF EQUIPMENT- CONSTRUCTION AND BUILDING MATERIALS,212321,CONSTRUCTION SAND AND GRAVEL MINING
35759.71,11/5/2020,12/1/2020,12/31/2020 0:00,12/31/2020 0:00,DEPT OF THE ARMY,"UGI ENERGY SERVICES, LLC",READING,BERKS,PA,6830,GASES: COMPRESSED AND LIQUEFIED,211130,NATURAL GAS EXTRACTION
295339.33,10/1/2017,10/1/2017,5/23/2019 0:00,5/23/2019 0:00,"VETERANS AFFAIRS, DEPARTMENT OF","SAGE ENERGY TRADING, LLC",JENKS,TULSA,OK,S111,UTILITIES- GAS,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION
72366.71,1/12/2017,2/1/2017,2/28/2017 0:00,2/28/2017 0:00,DEPT OF THE ARMY,"PPL ENERGY PLUS, LLC",ALLENTOWN,LEHIGH,PA,6830,GASES: COMPRESSED AND LIQUEFIED,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION
5128.2,2/5/2019,2/5/2019,9/18/2019 0:00,9/18/2019 0:00,DEFENSE LOGISTICS AGENCY,GENERAL DYNAMICS LAND SYSTEMS - CANADA CORPORATION,LONDON,,,3040,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,213113,SUPPORT ACTIVITIES FOR COAL MINING
64267.26,12/10/2019,12/6/2019,12/31/2019 0:00,12/31/2019 0:00,U.S. ARMY CORPS OF ENGINEERS - CIVIL PROGRAM FINANCING ONLY,MID-STATES MATERIALS LLC,TOPEKA,SHAWNEE,KS,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
14879.52,9/4/2018,9/4/2018,10/30/2018 0:00,10/30/2018 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,9140,FUEL OILS,211120,CRUDE PETROLEUM EXTRACTION
1354.99,8/27/2019,8/27/2019,1/9/2020 0:00,1/9/2020 0:00,DEFENSE LOGISTICS AGENCY,LARKOS PACKING AND DISTRIBUTION INC.,MORRISVILLE,BUCKS,PA,3120,"BEARINGS, PLAIN, UNMOUNTED",213113,SUPPORT ACTIVITIES FOR COAL MINING
870.8,7/9/2018,7/9/2018,7/20/2018 0:00,7/20/2018 0:00,DEFENSE LOGISTICS AGENCY,ARMY & AIR FORCE EXCHANGE SERVICE,DALLAS,DALLAS,TX,8960,"BEVERAGES, NONALCOHOLIC",212391,"POTASH, SODA, AND BORATE MINERAL MINING"
533.25,11/17/2018,11/17/2018,12/26/2018 0:00,12/26/2018 0:00,DEFENSE LOGISTICS AGENCY,"FABRICATION SPECIALTY, INC.",GRANBURY,HOOD,TX,3120,"BEARINGS, PLAIN, UNMOUNTED",213113,SUPPORT ACTIVITIES FOR COAL MINING
3471.91,4/19/2017,4/19/2017,2/23/2018 0:00,2/23/2018 0:00,DEFENSE LOGISTICS AGENCY,"AAR SUPPLY CHAIN, INC.",WOOD DALE,DUPAGE,IL,3040,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,213113,SUPPORT ACTIVITIES FOR COAL MINING
253.58,3/19/2019,3/19/2019,5/20/2019 0:00,5/20/2019 0:00,DEFENSE LOGISTICS AGENCY,DELA TECHNOLOGY CORPORATION,ROCKVILLE,MONTGOMERY,MD,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
67550.3,2/7/2018,2/7/2018,5/11/2018 0:00,5/11/2018 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,Y1FA,CONSTRUCTION OF FAMILY HOUSING FACILITIES,212321,CONSTRUCTION SAND AND GRAVEL MINING
69854.24,9/30/2019,9/30/2019,2/29/2020 0:00,2/29/2020 0:00,"STATE, DEPARTMENT OF",ELECTRICA DE SUMINISTROS Y SERVICIOS SA,GUADALUPE,,,5680,MISCELLANEOUS CONSTRUCTION MATERIALS,212321,CONSTRUCTION SAND AND GRAVEL MINING
98,3/5/2021,3/5/2021,3/15/2021 0:00,3/15/2021 0:00,FEDERAL ACQUISITION SERVICE,"GIGA, INC.",MACON,BIBB,GA,6830,GASES: COMPRESSED AND LIQUEFIED,211112,NATURAL GAS LIQUID EXTRACTION
217317.73,12/28/2016,12/28/2016,10/13/2017 0:00,10/13/2017 0:00,NATIONAL PARK SERVICE,AMERICAN CLASSIC CONSTRUCTION INC.,CHATSWORTH,LOS ANGELES,CA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
650,11/29/2017,11/29/2017,12/13/2017 0:00,12/13/2017 0:00,DEFENSE LOGISTICS AGENCY,MILITARY PARTS EXCHANGE LLC,FORT LAUDERDALE,BROWARD,FL,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
116,11/1/2018,11/1/2018,4/1/2019 0:00,4/1/2019 0:00,DEFENSE LOGISTICS AGENCY,PHOENIX TRADING INC.,ROCKVILLE,MONTGOMERY,MD,3120,"BEARINGS, PLAIN, UNMOUNTED",213113,SUPPORT ACTIVITIES FOR COAL MINING
62492,7/9/2021,7/5/2021,7/8/2023 0:00,7/8/2026 0:00,"VETERANS AFFAIRS, DEPARTMENT OF",,NORTH CHARLESTON,CHARLESTON,SC,H391,"INSPECTION- FUELS, LUBRICANTS, OILS, AND WAXES",213112,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS
5234.25,4/22/2016,4/22/2016,4/26/2016 0:00,4/26/2016 0:00,DEPT OF THE NAVY,"BECK OIL, INC.",VICTORVILLE,SAN BERNARDINO,CA,J091,"MAINT/REPAIR/REBUILD OF EQUIPMENT- FUELS, LUBRICANTS, OILS, AND WAXES",213112,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS
24750,1/22/2019,1/22/2019,1/31/2019 0:00,1/31/2019 0:00,DEPT OF THE ARMY,"CAPITAL SAND COMPANY, INC.",JEFFERSON CITY,COLE,MO,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
984.64,5/9/2019,5/9/2019,6/10/2019 0:00,6/10/2019 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
20000,9/24/2019,9/24/2019,9/24/2019 0:00,9/24/2019 0:00,DEPT OF THE ARMY,"WILLARD QUARRIES, INC.",LEBANON,LACLEDE,MO,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
117319.71,7/23/2015,7/23/2015,9/30/2016 0:00,9/30/2016 0:00,FEDERAL LAW ENFORCEMENT TRAINING CENTER,GAS SOUTH LLC,ATLANTA,COBB,GA,6830,GASES: COMPRESSED AND LIQUEFIED,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION
344862,3/20/2006,3/20/2006,3/22/2006 0:00,3/22/2006 0:00,FEDERAL EMERGENCY MANAGEMENT AGENCY,FORT PIERCE WATERFRONT TERMINALS LIMITED LIABILITY COMPANY,FORT PIERCE,ST. LUCIE,FL,AD61,R&D- DEFENSE OTHER: CONSTRUCTION (BASIC RESEARCH),212321,CONSTRUCTION SAND AND GRAVEL MINING
0,3/29/2021,3/29/2021,10/29/2021 0:00,10/29/2021 0:00,FOREST SERVICE,DELTA SAND & GRAVEL CO,EUGENE,LANE,OR,9610,ORES,212321,CONSTRUCTION SAND AND GRAVEL MINING
1982.75,6/11/2018,6/11/2018,9/10/2018 0:00,9/10/2018 0:00,DEFENSE LOGISTICS AGENCY,"WOODWARD, INC.",LOVES PARK,WINNEBAGO,IL,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
0,6/30/2020,6/30/2020,7/30/2020 0:00,7/30/2020 0:00,DEPT OF THE AIR FORCE,"EMPIRE MATERIAL USA, LLC",SYRACUSE,ONONDAGA,NY,9620,"MINERALS, NATURAL AND SYNTHETIC",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
13008.06,4/29/2019,4/29/2019,6/30/2019 0:00,6/30/2019 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,9140,FUEL OILS,213112,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS
286.5,6/27/2018,6/27/2018,7/2/2018 0:00,7/2/2018 0:00,DEFENSE LOGISTICS AGENCY,ARMY & AIR FORCE EXCHANGE SERVICE,DALLAS,DALLAS,TX,8960,"BEVERAGES, NONALCOHOLIC",212391,"POTASH, SODA, AND BORATE MINERAL MINING"
949983.65,3/10/2021,4/12/2021,10/9/2021 0:00,10/9/2021 0:00,DEPT OF THE AIR FORCE,"CROWLEY HOLDINGS, LLC",NEW ORLEANS,ORLEANS,LA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
50216,9/23/2020,9/23/2020,12/31/2020 0:00,12/31/2020 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,C220,ARCHITECT AND ENGINEERING- GENERAL: STRUCTURAL ENGINEERING,212321,CONSTRUCTION SAND AND GRAVEL MINING
30240,7/15/2016,7/15/2016,1/23/2017 0:00,1/23/2017 0:00,DEFENSE LOGISTICS AGENCY,"ORDNANCE TECHNOLOGY SERVICE, INC.",MENTOR,LAKE,OH,3120,"BEARINGS, PLAIN, UNMOUNTED",213113,SUPPORT ACTIVITIES FOR COAL MINING
133279.45,6/29/2018,6/29/2018,5/31/2021 0:00,5/31/2021 0:00,FOREST SERVICE,CUSTOM ROCK PRODUCTS CO.,CEDAR CITY,IRON,UT,M1PZ,OPERATION OF OTHER NON-BUILDING FACILITIES,212321,CONSTRUCTION SAND AND GRAVEL MINING
82875.66,8/30/2017,8/30/2017,11/30/2017 0:00,12/31/2017 0:00,"STATE, DEPARTMENT OF",CPA MAROC,RABAT,,,H299,EQUIPMENT AND MATERIALS TESTING- MISCELLANEOUS,212321,CONSTRUCTION SAND AND GRAVEL MINING
17702.3,2/4/2019,2/4/2019,2/12/2019 0:00,2/12/2019 0:00,DEPT OF THE ARMY,BSE PERFORMANCE LLC,PEORIA,MARICOPA,AZ,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
0,8/3/2018,8/3/2018,8/6/2018 0:00,8/6/2018 0:00,DEFENSE LOGISTICS AGENCY,ARMY & AIR FORCE EXCHANGE SERVICE,DALLAS,DALLAS,TX,8960,"BEVERAGES, NONALCOHOLIC",212391,"POTASH, SODA, AND BORATE MINERAL MINING"
107701.25,10/23/2020,10/1/2020,10/31/2020 0:00,10/31/2020 0:00,DEPT OF THE ARMY,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",LOUISVILLE,JEFFERSON,KY,6830,GASES: COMPRESSED AND LIQUEFIED,211130,NATURAL GAS EXTRACTION
0,4/27/2020,4/27/2020,,,DEFENSE LOGISTICS AGENCY,PINES QUALITY INC.,FORT LAUDERDALE,BROWARD,FL,3040,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,213113,SUPPORT ACTIVITIES FOR COAL MINING
24613.73,5/28/2014,5/28/2014,7/27/2015 0:00,7/27/2015 0:00,U.S. FISH AND WILDLIFE SERVICE,"SHELLY COMPANY, THE",THORNVILLE,LICKING,OH,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
30486.78,8/11/2018,8/11/2018,9/12/2018 0:00,9/12/2018 0:00,BUREAU OF INDIAN AFFAIRS AND BUREAU OF INDIAN EDUCATION,"DAWSON ENTERPRISES, INC.",FOUNTAIN HILLS,MARICOPA,AZ,R499,SUPPORT- PROFESSIONAL: OTHER,213112,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS
12386,4/14/2016,4/14/2016,8/14/2016 0:00,8/14/2016 0:00,DEPT OF THE ARMY,"WADLEY CONSTRUCTION, INC.",LAS VEGAS,CLARK,NV,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
0,10/9/2017,10/9/2017,10/24/2017 0:00,10/24/2017 0:00,DEFENSE LOGISTICS AGENCY,ARMY & AIR FORCE EXCHANGE SERVICE,DALLAS,DALLAS,TX,8960,"BEVERAGES, NONALCOHOLIC",212391,"POTASH, SODA, AND BORATE MINERAL MINING"
1297473.08,11/27/2013,11/27/2013,9/30/2014 0:00,12/31/2014 0:00,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,"SHELL ENERGY NORTH AMERICA (US), L.P.",HOUSTON,HARRIS,TX,6830,GASES: COMPRESSED AND LIQUEFIED,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION
2500,1/27/2020,1/27/2020,7/27/2020 0:00,7/27/2020 0:00,DEFENSE LOGISTICS AGENCY,TEC AEROSPACE LLC,CLAYTON,GLOUCESTER,NJ,3040,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,213113,SUPPORT ACTIVITIES FOR COAL MINING
98,6/4/2020,6/4/2020,6/14/2020 0:00,6/14/2020 0:00,FEDERAL ACQUISITION SERVICE,"GIGA, INC.",MACON,BIBB,GA,6830,GASES: COMPRESSED AND LIQUEFIED,211112,NATURAL GAS LIQUID EXTRACTION
545000,12/1/2015,12/1/2015,3/19/2016 0:00,3/19/2016 0:00,DEPT OF THE ARMY,LIANA CONSTRUCTION LLC,PEARL CITY,HONOLULU,HI,M1PZ,OPERATION OF OTHER NON-BUILDING FACILITIES,212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
20657.7,11/15/2017,11/15/2017,1/4/2018 0:00,1/4/2018 0:00,DEPT OF THE NAVY,BHAYANA BROTHERS LLC,PITTSBURGH,ALLEGHENY,PA,5120,"HAND TOOLS, NONEDGED, NONPOWERED",211120,CRUDE PETROLEUM EXTRACTION
163127.29,8/2/2017,8/2/2017,8/15/2017 0:00,12/30/2017 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,5680,MISCELLANEOUS CONSTRUCTION MATERIALS,212321,CONSTRUCTION SAND AND GRAVEL MINING
4628.74,4/14/2014,4/14/2014,4/17/2014 0:00,4/17/2014 0:00,DEPT OF THE ARMY,LIQUIGAS SPA,MILANO,,,6830,GASES: COMPRESSED AND LIQUEFIED,211112,NATURAL GAS LIQUID EXTRACTION
3628.26,3/2/2016,3/2/2016,4/30/2016 0:00,4/30/2016 0:00,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,Y1JZ,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,212321,CONSTRUCTION SAND AND GRAVEL MINING
27299.25,6/13/2019,6/13/2019,7/30/2020 0:00,7/30/2020 0:00,FOREST SERVICE,"GOLAT & ENGEL CUSTOM GRAVEL CRUSHING, INC.",BRUCE,RUSK,WI,F099,NATURAL RESOURCES/CONSERVATION- OTHER,212321,CONSTRUCTION SAND AND GRAVEL MINING
520,5/8/2018,5/8/2018,6/7/2018 0:00,6/7/2018 0:00,DEFENSE LOGISTICS AGENCY,PRO STEEL,ROSEVILLE,MACOMB,MI,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
68506.37,10/21/2019,12/1/2019,12/31/2019 0:00,12/31/2019 0:00,DEPT OF THE ARMY,"UGI ENERGY SERVICES, LLC",READING,BERKS,PA,6830,GASES: COMPRESSED AND LIQUEFIED,211130,NATURAL GAS EXTRACTION
350535.08,7/11/2016,7/11/2016,8/31/2016 0:00,8/31/2016 0:00,DEPT OF THE NAVY,"DELTA COALS, LLC",NASHVILLE,DAVIDSON,TN,9110,"FUELS, SOLID",211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION
261.8,11/15/2018,11/15/2018,12/17/2018 0:00,12/17/2018 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
2517.6,4/5/2017,4/5/2017,7/24/2017 0:00,7/24/2017 0:00,DEFENSE LOGISTICS AGENCY,JAMAICA BEARINGS CO INC,NEW HYDE PARK,NASSAU,NY,3040,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,213113,SUPPORT ACTIVITIES FOR COAL MINING
526.5,3/31/2016,3/31/2016,7/29/2016 0:00,7/29/2016 0:00,DEFENSE LOGISTICS AGENCY,"PDI GROUND SUPPORT SYSTEMS, INC.",SOLON,CUYAHOGA,OH,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
17260,9/19/2017,9/18/2017,10/20/2017 0:00,10/20/2017 0:00,DEPT OF THE ARMY,AMERICAN CLASSIC CONSTRUCTION INC.,CHATSWORTH,LOS ANGELES,CA,5680,MISCELLANEOUS CONSTRUCTION MATERIALS,212321,CONSTRUCTION SAND AND GRAVEL MINING
21792.96,12/30/2019,12/30/2019,12/30/2019 0:00,12/30/2019 0:00,DEPT OF THE ARMY,"WILLARD QUARRIES, INC.",LEBANON,LACLEDE,MO,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
0,11/14/2016,11/14/2016,,,U.S. FISH AND WILDLIFE SERVICE,"FAIRFAX MATERIALS, INC",OAKLAND,GARRETT,MD,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
6432,1/9/2018,1/9/2018,1/9/2018 0:00,1/10/2018 0:00,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,MARCUM OIL CO INC,JONESVILLE,LEE,VA,9140,FUEL OILS,213112,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS
0,7/29/2019,7/29/2019,,,BUREAU OF SAFETY AND ENVIRONMENTAL ENFORCEMENT,"A2D TECHNOLOGIES, INC.",HOUSTON,HARRIS,TX,B529,SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA,213112,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS
687.5,6/24/2020,6/24/2020,7/9/2020 0:00,7/9/2020 0:00,DEFENSE LOGISTICS AGENCY,"QUALITY AVIATION, INC.",FONTANA,SAN BERNARDINO,CA,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
25894,3/5/2018,3/5/2018,5/6/2018 0:00,5/6/2018 0:00,DEPT OF THE ARMY,MOTORCITY SOLAR ENERGY INC.,DETROIT,WAYNE,MI,5680,MISCELLANEOUS CONSTRUCTION MATERIALS,212321,CONSTRUCTION SAND AND GRAVEL MINING
196684.73,7/18/2016,7/19/2016,8/1/2018 0:00,8/1/2018 0:00,NATIONAL PARK SERVICE,"MIKE KESLER ENTERPRISES, INC.",PRIEST RIVER,BONNER,ID,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
708.84,1/3/2019,1/3/2019,6/19/2019 0:00,6/19/2019 0:00,DEFENSE LOGISTICS AGENCY,"J. T. D. STAMPING CO., INC.",WEST BABYLON,SUFFOLK,NY,5340,"HARDWARE, COMMERCIAL",213113,SUPPORT ACTIVITIES FOR COAL MINING
4995,11/15/2018,11/15/2018,11/20/2018 0:00,11/20/2018 0:00,DEPT OF THE ARMY,GREEN DREAM INTERNATIONAL LLC,ALEXANDRIA,ALEXANDRIA (CITY),VA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
91515.74,9/30/2016,9/30/2016,10/31/2016 0:00,10/31/2016 0:00,DEPT OF THE ARMY,"WINN MATERIALS, LLC",CLARKSVILLE,MONTGOMERY,TN,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
